date,rate,country
"2003-09-01","1.01","US"
"2003-10-01","1.01","US"
"2003-11-01","1.00","US"
"2003-12-01","0.98","US"
"2004-01-01","1.00","US"
"2004-02-01","1.01","US"
"2004-03-01","1.00","US"
"2004-04-01","1.00","US"
"2004-05-01","1.00","US"
"2004-06-01","1.03","US"
"2004-07-01","1.26","US"
"2004-08-01","1.43","US"
"2004-09-01","1.61","US"
"2004-10-01","1.76","US"
"2004-11-01","1.93","US"
"2004-12-01","2.16","US"
"2005-01-01","2.28","US"
"2005-02-01","2.50","US"
"2005-03-01","2.63","US"
"2005-04-01","2.79","US"
"2005-05-01","3.00","US"
"2005-06-01","3.04","US"
"2005-07-01","3.26","US"
"2005-08-01","3.50","US"
"2005-09-01","3.62","US"
"2005-10-01","3.78","US"
"2005-11-01","4.00","US"
"2005-12-01","4.16","US"
"2006-01-01","4.29","US"
"2006-02-01","4.49","US"
"2006-03-01","4.59","US"
"2006-04-01","4.79","US"
"2006-05-01","4.94","US"
"2006-06-01","4.99","US"
"2006-07-01","5.24","US"
"2006-08-01","5.25","US"
"2006-09-01","5.25","US"
"2006-10-01","5.25","US"
"2006-11-01","5.25","US"
"2006-12-01","5.24","US"
"2007-01-01","5.25","US"
"2007-02-01","5.26","US"
"2007-03-01","5.26","US"
"2007-04-01","5.25","US"
"2007-05-01","5.25","US"
"2007-06-01","5.25","US"
"2007-07-01","5.26","US"
"2007-08-01","5.02","US"
"2007-09-01","4.94","US"
"2007-10-01","4.76","US"
"2007-11-01","4.49","US"
"2007-12-01","4.24","US"
"2008-01-01","3.94","US"
"2008-02-01","2.98","US"
"2008-03-01","2.61","US"
"2008-04-01","2.28","US"
"2008-05-01","1.98","US"
"2008-06-01","2.00","US"
"2008-07-01","2.01","US"
"2008-08-01","2.00","US"
"2008-09-01","1.81","US"
"2008-10-01","0.97","US"
"2008-11-01","0.39","US"
"2008-12-01","0.16","US"
"2009-01-01","0.15","US"
"2009-02-01","0.22","US"
"2009-03-01","0.18","US"
"2009-04-01","0.15","US"
"2009-05-01","0.18","US"
"2009-06-01","0.21","US"
"2009-07-01","0.16","US"
"2009-08-01","0.16","US"
"2009-09-01","0.15","US"
"2009-10-01","0.12","US"
"2009-11-01","0.12","US"
"2009-12-01","0.12","US"
"2010-01-01","0.11","US"
"2010-02-01","0.13","US"
"2010-03-01","0.16","US"
"2010-04-01","0.20","US"
"2010-05-01","0.20","US"
"2010-06-01","0.18","US"
"2010-07-01","0.18","US"
"2010-08-01","0.19","US"
"2010-09-01","0.19","US"
"2010-10-01","0.19","US"
"2010-11-01","0.19","US"
"2010-12-01","0.18","US"
"2011-01-01","0.17","US"
"2011-02-01","0.16","US"
"2011-03-01","0.14","US"
"2011-04-01","0.10","US"
"2011-05-01","0.09","US"
"2011-06-01","0.09","US"
"2011-07-01","0.07","US"
"2011-08-01","0.10","US"
"2011-09-01","0.08","US"
"2011-10-01","0.07","US"
"2011-11-01","0.08","US"
"2011-12-01","0.07","US"
"2012-01-01","0.08","US"
"2012-02-01","0.10","US"
"2012-03-01","0.13","US"
"2012-04-01","0.14","US"
"2012-05-01","0.16","US"
"2012-06-01","0.16","US"
"2012-07-01","0.16","US"
"2012-08-01","0.13","US"
"2012-09-01","0.14","US"
"2012-10-01","0.16","US"
"2012-11-01","0.16","US"
"2012-12-01","0.16","US"
"2013-01-01","0.14","US"
"2013-02-01","0.15","US"
"2013-03-01","0.14","US"
"2013-04-01","0.15","US"
"2013-05-01","0.11","US"
"2013-06-01","0.09","US"
"2013-07-01","0.09","US"
"2013-08-01","0.08","US"
"2013-09-01","0.08","US"
"2013-10-01","0.09","US"
"2013-11-01","0.08","US"
"2013-12-01","0.09","US"
"2014-01-01","0.07","US"
"2014-02-01","0.07","US"
"2014-03-01","0.08","US"
"2014-04-01","0.09","US"
"2014-05-01","0.09","US"
"2014-06-01","0.10","US"
"2014-07-01","0.09","US"
"2014-08-01","0.09","US"
"2014-09-01","0.09","US"
"2014-10-01","0.09","US"
"2014-11-01","0.09","US"
"2014-12-01","0.12","US"
"2015-01-01","0.11","US"
"2015-02-01","0.11","US"
"2015-03-01","0.11","US"
"2015-04-01","0.12","US"
"2015-05-01","0.12","US"
"2015-06-01","0.13","US"
"2015-07-01","0.13","US"
"2015-08-01","0.14","US"
"2015-09-01","0.14","US"
"2015-10-01","0.12","US"
"2015-11-01","0.12","US"
"2015-12-01","0.24","US"
"2016-01-01","0.34","US"
"2016-02-01","0.38","US"
"2016-03-01","0.36","US"
"2016-04-01","0.37","US"
"2016-05-01","0.37","US"
"2016-06-01","0.38","US"
"2016-07-01","0.39","US"
"2016-08-01","0.40","US"
"2016-09-01","0.40","US"
"2016-10-01","0.40","US"
"2016-11-01","0.41","US"
"2016-12-01","0.54","US"
"2017-01-01","0.65","US"
"2017-02-01","0.66","US"
"2017-03-01","0.79","US"
"2017-04-01","0.90","US"
"2017-05-01","0.91","US"
"2017-06-01","1.04","US"
"2017-07-01","1.15","US"
"2017-08-01","1.16","US"
"2017-09-01","1.15","US"
"2017-10-01","1.15","US"
"2017-11-01","1.16","US"
"2017-12-01","1.30","US"
"2018-01-01","1.41","US"
"2018-02-01","1.42","US"
"2018-03-01","1.51","US"
"2018-04-01","1.69","US"
"2018-05-01","1.70","US"
"2018-06-01","1.82","US"
"2018-07-01","1.91","US"
"2018-08-01","1.91","US"
"2018-09-01","1.95","US"
"2018-10-01","2.19","US"
"2018-11-01","2.20","US"
"2018-12-01","2.27","US"
"2019-01-01","2.40","US"
"2019-02-01","2.40","US"
"2019-03-01","2.41","US"
"2019-04-01","2.42","US"
"2019-05-01","2.39","US"
"2019-06-01","2.38","US"
"2019-07-01","2.40","US"
"2019-08-01","2.13","US"
"2019-09-01","2.04","US"
"2019-10-01","1.83","US"
"2019-11-01","1.55","US"
"2019-12-01","1.55","US"
"2020-01-01","1.55","US"
"2020-02-01","1.58","US"
"2020-03-01","0.65","US"
"2020-04-01","0.05","US"
"2020-05-01","0.05","US"
"2020-06-01","0.08","US"
"2020-07-01","0.09","US"
"2020-08-01","0.10","US"
"2020-09-01","0.09","US"
"2020-10-01","0.09","US"
"2020-11-01","0.09","US"
"2020-12-01","0.09","US"
"2021-01-01","0.09","US"
"2021-02-01","0.08","US"
"2021-03-01","0.07","US"
"2021-04-01","0.07","US"
"2021-05-01","0.06","US"
"2021-06-01","0.08","US"
"2021-07-01","0.10","US"
"2021-08-01","0.09","US"
"2021-09-01","0.08","US"
"2021-10-01","0.08","US"
"2021-11-01","0.08","US"
"2021-12-01","0.08","US"
"2022-01-01","0.08","US"
"2022-02-01","0.08","US"
"2022-03-01","0.20","US"
"2022-04-01","0.33","US"
"2022-05-01","0.77","US"
"2022-06-01","1.21","US"
"2022-07-01","1.68","US"
"2022-08-01","2.33","US"
"2022-09-01","2.56","US"
"2022-10-01","3.08","US"
"2022-11-01","3.78","US"
"2022-12-01","4.10","US"
"2023-01-01","4.33","US"
